,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-7b-hf,google/gemma-7b-it,google/gemma-2b-it,bert-base-uncased
1,0.39128441027566496,0.4109920300299825,0.7623865521616406,0.680359306970453,0.8087779077049954
2,0.5048787915307626,0.5309193186687148,0.8826190255793314,0.784374545885548,0.8600450475697216
3,0.576641078143201,0.5731629903349885,0.9377172869915509,0.8535404197975005,0.896259092908219
4,0.6390611678559722,0.6036936750066648,0.9532653547323483,0.9035511477092759,0.9110488738582779
5,0.7003174679018284,0.6713665955730606,0.9591040993380704,0.9151932524260232,0.9201886092365764
6,0.7109360290653973,0.7064691095031247,0.969732700679032,0.9118850474390566,0.9191271525893365
7,0.7038112845984394,0.7095269696340741,0.9766612330907353,0.9404630041801002,0.9415036371273515
8,0.7473960284544958,0.7382189168155034,0.9776715984603997,0.9536401699304241,0.939775466597086
9,0.7258152934157931,0.7758989341134878,0.9834590260982017,0.9376460402816316,0.9372354670343287
10,0.7828327794952284,0.7699537508613211,0.983356547033101,0.9612273521974971,0.9378715783826747
11,0.7748504750564404,0.7670081206516068,0.9913364850468779,0.9567815309749121,0.9486809694236861
12,0.8053535739006228,0.7662650457754282,0.9815133145262954,0.9631877068316018,0.9386148897861081
13,0.7895912502503337,0.7864743802445184,0.9900460593738829,0.959094818582714,0.9506427459881234
14,0.7901320295726977,0.7667347729284837,0.9892907710034372,0.9717013022357318,0.9472347202208077
15,0.8071835370732384,0.7843202029310549,0.9915362216303739,0.9661330599805108,0.952855141593399
16,0.8134880168235766,0.7931944887646287,0.9895847395090965,0.9704547203892716,0.9562097513200211
17,0.7892771125234608,0.8209621511016231,0.9939426254266371,0.9735483893675113,0.9444833766640642
18,0.8279275933957869,0.8335876128794077,0.9904355053104543,0.9708091079549531,0.9596709544640799
19,0.8308092644705468,0.8580271696139795,0.9924715745645806,0.9658641119184099,0.9523486449972349
20,0.8148046095330062,0.8239136688927213,0.9933524209546017,0.9727745315584363,0.9563637250561896
21,0.8015428071267733,0.8383474221322039,0.9926606685987869,0.9739368473739933,0.962107303197831
22,0.8455100883865868,0.8262686642178659,0.9928044987145509,0.9791280172736921,0.9555600483133162
23,0.8380077488183356,0.8357888141184024,0.9939516184636462,0.9756893772915468,0.9615858234152944
24,0.8459590840120952,0.8345675894056126,0.9954035449788465,0.9827895133390885,0.9664063680055225
25,0.8539610084223681,0.842435148007972,0.9945494119902282,0.9784368816346561,0.9639552356539837
